"","Year","N","mid","Species"
"130","1969",0,98.5,"Sprattus sprattus"
"131","1969",0,102.5,"Sprattus sprattus"
"132","1969",0,106.5,"Sprattus sprattus"
"133","1969",0,110.5,"Sprattus sprattus"
"134","1969",0,114.5,"Sprattus sprattus"
"135","1969",0,118.5,"Sprattus sprattus"
"136","1969",0,122.5,"Sprattus sprattus"
"137","1969",0,126.5,"Sprattus sprattus"
"138","1969",0,130.5,"Sprattus sprattus"
"139","1969",0,134.5,"Sprattus sprattus"
"140","1969",0,138.5,"Sprattus sprattus"
"141","1970",0,2.5,"Sprattus sprattus"
"142","1970",101.04347826087,6.5,"Sprattus sprattus"
"143","1970",433.579710144928,10.5,"Sprattus sprattus"
"144","1970",50.0579710144928,14.5,"Sprattus sprattus"
"145","1970",0.0289855072463768,18.5,"Sprattus sprattus"
"146","1970",0,22.5,"Sprattus sprattus"
"147","1970",0,26.5,"Sprattus sprattus"
"148","1970",0,30.5,"Sprattus sprattus"
"149","1970",0,34.5,"Sprattus sprattus"
"150","1970",0,38.5,"Sprattus sprattus"
"151","1970",0,42.5,"Sprattus sprattus"
"152","1970",0,46.5,"Sprattus sprattus"
"153","1970",0,50.5,"Sprattus sprattus"
"154","1970",0,54.5,"Sprattus sprattus"
"155","1970",0,58.5,"Sprattus sprattus"
"156","1970",0,62.5,"Sprattus sprattus"
"157","1970",0,66.5,"Sprattus sprattus"
"158","1970",0,70.5,"Sprattus sprattus"
"159","1970",0,74.5,"Sprattus sprattus"
"160","1970",0,78.5,"Sprattus sprattus"
"161","1970",0,82.5,"Sprattus sprattus"
"162","1970",0,86.5,"Sprattus sprattus"
"163","1970",0,90.5,"Sprattus sprattus"
"164","1970",0,94.5,"Sprattus sprattus"
"165","1970",0,98.5,"Sprattus sprattus"
"166","1970",0,102.5,"Sprattus sprattus"
"167","1970",0,106.5,"Sprattus sprattus"
"168","1970",0,110.5,"Sprattus sprattus"
"169","1970",0,114.5,"Sprattus sprattus"
"170","1970",0,118.5,"Sprattus sprattus"
"171","1970",0,122.5,"Sprattus sprattus"
"172","1970",0,126.5,"Sprattus sprattus"
"173","1970",0,130.5,"Sprattus sprattus"
"174","1970",0,134.5,"Sprattus sprattus"
"175","1970",0,138.5,"Sprattus sprattus"
"176","1971",0,2.5,"Sprattus sprattus"
"177","1971",112.664804469274,6.5,"Sprattus sprattus"
"178","1971",329.664804469274,10.5,"Sprattus sprattus"
"179","1971",45.5865921787709,14.5,"Sprattus sprattus"
"180","1971",0,18.5,"Sprattus sprattus"
"181","1971",0,22.5,"Sprattus sprattus"
"182","1971",0,26.5,"Sprattus sprattus"
"183","1971",0,30.5,"Sprattus sprattus"
"184","1971",0,34.5,"Sprattus sprattus"
"185","1971",0,38.5,"Sprattus sprattus"
"186","1971",0,42.5,"Sprattus sprattus"
"187","1971",0,46.5,"Sprattus sprattus"
"188","1971",0,50.5,"Sprattus sprattus"
"189","1971",0,54.5,"Sprattus sprattus"
"190","1971",0,58.5,"Sprattus sprattus"
"191","1971",0,62.5,"Sprattus sprattus"
"192","1971",0,66.5,"Sprattus sprattus"
"193","1971",0,70.5,"Sprattus sprattus"
"194","1971",0,74.5,"Sprattus sprattus"
"195","1971",0,78.5,"Sprattus sprattus"
"196","1971",0,82.5,"Sprattus sprattus"
"197","1971",0,86.5,"Sprattus sprattus"
"198","1971",0,90.5,"Sprattus sprattus"
"199","1971",0,94.5,"Sprattus sprattus"
"200","1971",0,98.5,"Sprattus sprattus"
"201","1971",0,102.5,"Sprattus sprattus"
"202","1971",0,106.5,"Sprattus sprattus"
"203","1971",0,110.5,"Sprattus sprattus"
"204","1971",0,114.5,"Sprattus sprattus"
"205","1971",0,118.5,"Sprattus sprattus"
"206","1971",0,122.5,"Sprattus sprattus"
"207","1971",0,126.5,"Sprattus sprattus"
"208","1971",0,130.5,"Sprattus sprattus"
"209","1971",0,134.5,"Sprattus sprattus"
"210","1971",0,138.5,"Sprattus sprattus"
